planId,distributor,brandName,displayName,planType,effectiveFrom,effectiveTo,dmoPrice,annualUsage,supplyCharge,demandCharge,estimatedCharge,differenceDmoPrice
REA392027MRE3@EME,Ausgrid,ReAmped Energy,ReAmped Classic | Anytime,MARKET,2023-08-01 00:00:00+00:00,,1827.0,3911,287.127,1373.5431999999998,1660.6701999999998,-166.3298000000002
REA391966MRE3@EME,Essential Energy,ReAmped Energy,ReAmped Handshake | Anytime,MARKET,2023-08-01 00:00:00+00:00,,2527.0,4613,516.8286,1781.0793,2297.9079,-229.09209999999985
REA391962MRE3@EME,Ausgrid,ReAmped Energy,ReAmped Advance | Anytime,MARKET,2023-08-01 00:00:00+00:00,,1827.0,3911,287.127,1373.5431999999998,1660.6701999999998,-166.3298000000002
REA391973MRE3@EME,Endeavour,ReAmped Energy,ReAmped Solar | Anytime,MARKET,2023-08-01 00:00:00+00:00,,2228.0,4913,294.813,1730.8498999999997,2025.6628999999998,-202.3371000000002
REA391974MRE3@EME,Essential Energy,ReAmped Energy,ReAmped Solar | Anytime,MARKET,2023-08-01 00:00:00+00:00,,2527.0,4613,516.8286,1781.0793,2297.9079,-229.09209999999985
REA391961MRE3@EME,Endeavour,ReAmped Energy,ReAmped Advance | Anytime,MARKET,2023-08-01 00:00:00+00:00,,2228.0,4913,294.813,1730.8498999999997,2025.6628999999998,-202.3371000000002
REA391928MRE3@EME,Ausgrid,ReAmped Energy,ReAmped Handshake | Anytime,MARKET,2023-08-01 00:00:00+00:00,,1827.0,3911,287.127,1373.5431999999998,1660.6701999999998,-166.3298000000002
REA391891MRE3@EME,Endeavour,ReAmped Energy,ReAmped Handshake | Anytime,MARKET,2023-08-01 00:00:00+00:00,,2228.0,4913,294.813,1730.8498999999997,2025.6628999999998,-202.3371000000002
REA391865MRE3@EME,SA Power Networks,ReAmped Energy,ReAmped Classic | Anytime,MARKET,2023-08-01 00:00:00+00:00,,2279.0,4011,294.813,1776.8729999999998,2071.6859999999997,-207.3140000000003
REA391857MRE3@EME,SA Power Networks,ReAmped Energy,ReAmped Advance | Anytime,MARKET,2023-08-01 00:00:00+00:00,,2279.0,4011,294.813,1776.8729999999998,2071.6859999999997,-207.3140000000003
REA391858MRE3@EME,SA Power Networks,ReAmped Energy,ReAmped Solar | Anytime,MARKET,2023-08-01 00:00:00+00:00,,2279.0,4011,294.813,1776.8729999999998,2071.6859999999997,-207.3140000000003
REA391871MRE3@EME,SA Power Networks,ReAmped Energy,ReAmped Handshake | Anytime,MARKET,2023-08-01 00:00:00+00:00,,2279.0,4011,294.813,1776.8729999999998,2071.6859999999997,-207.3140000000003
REA392110MRE3@EME,Essential Energy,ReAmped Energy,ReAmped Classic | Anytime,MARKET,2023-08-01 00:00:00+00:00,,2527.0,4613,516.8286,1781.0793,2297.9079,-229.09209999999985
REA392061MRE3@EME,Ausgrid,ReAmped Energy,ReAmped Solar | Anytime,MARKET,2023-08-01 00:00:00+00:00,,1827.0,3911,287.127,1373.5431999999998,1660.6701999999998,-166.3298000000002
REA392068MRE3@EME,Endeavour,ReAmped Energy,ReAmped Classic | Anytime,MARKET,2023-08-01 00:00:00+00:00,,2228.0,4913,294.813,1730.8498999999997,2025.6628999999998,-202.3371000000002
REA392034MRE3@EME,Essential Energy,ReAmped Energy,ReAmped Advance | Anytime,MARKET,2023-08-01 00:00:00+00:00,,2527.0,4613,516.8286,1781.0793,2297.9079,-229.09209999999985
REA251070SRE4@EME,SA Power Networks,ReAmped Energy,ReAmped Standard | Anytime,STANDING,2023-07-01 00:00:00+00:00,,2279.0,4011,294.813,1776.8729999999998,2071.6859999999997,-207.3140000000003
REA251054SRE4@EME,Energex,ReAmped Energy,ReAmped Standard | Anytime,STANDING,2023-07-01 00:00:00+00:00,,1969.0,4613,287.127,1502.4541,1789.5810999999999,-179.41890000000012
REA251050SRE4@EME,Endeavour,ReAmped Energy,ReAmped Standard | Anytime,STANDING,2023-07-01 00:00:00+00:00,,2228.0,4913,294.813,1730.8498999999997,2025.6628999999998,-202.3371000000002
